bandwidth_hz,A2_MCCRL_ee_mean,A2_MCCRL_ee_ci_lo,A2_MCCRL_ee_ci_hi,A2_MCCRL_ho_rate_mean,A2_MCCRL_ho_rate_ci_lo,A2_MCCRL_ho_rate_ci_hi,A2_MCCRL_min_cov_mean,A2_MCCRL_min_cov_ci_lo,A2_MCCRL_min_cov_ci_hi,A2_MCCRL_active_beams_mean,A2_MCCRL_active_beams_ci_lo,A2_MCCRL_active_beams_ci_hi,A2_MCCRL_r3_mean,A2_MCCRL_r3_ci_lo,A2_MCCRL_r3_ci_hi,A2_MCCRL_jw_mean,A2_MCCRL_jw_ci_lo,A2_MCCRL_jw_ci_hi,A1_Auction_Only_ee_mean,A1_Auction_Only_ee_ci_lo,A1_Auction_Only_ee_ci_hi,A1_Auction_Only_ho_rate_mean,A1_Auction_Only_ho_rate_ci_lo,A1_Auction_Only_ho_rate_ci_hi,A1_Auction_Only_min_cov_mean,A1_Auction_Only_min_cov_ci_lo,A1_Auction_Only_min_cov_ci_hi,A1_Auction_Only_active_beams_mean,A1_Auction_Only_active_beams_ci_lo,A1_Auction_Only_active_beams_ci_hi,A1_Auction_Only_r3_mean,A1_Auction_Only_r3_ci_lo,A1_Auction_Only_r3_ci_hi,A1_Auction_Only_jw_mean,A1_Auction_Only_jw_ci_lo,A1_Auction_Only_jw_ci_hi,A2_kc0_NoCoord_ee_mean,A2_kc0_NoCoord_ee_ci_lo,A2_kc0_NoCoord_ee_ci_hi,A2_kc0_NoCoord_ho_rate_mean,A2_kc0_NoCoord_ho_rate_ci_lo,A2_kc0_NoCoord_ho_rate_ci_hi,A2_kc0_NoCoord_min_cov_mean,A2_kc0_NoCoord_min_cov_ci_lo,A2_kc0_NoCoord_min_cov_ci_hi,A2_kc0_NoCoord_active_beams_mean,A2_kc0_NoCoord_active_beams_ci_lo,A2_kc0_NoCoord_active_beams_ci_hi,A2_kc0_NoCoord_r3_mean,A2_kc0_NoCoord_r3_ci_lo,A2_kc0_NoCoord_r3_ci_hi,A2_kc0_NoCoord_jw_mean,A2_kc0_NoCoord_jw_ci_lo,A2_kc0_NoCoord_jw_ci_hi,AF_ee_mean,AF_ee_ci_lo,AF_ee_ci_hi,AF_ho_rate_mean,AF_ho_rate_ci_lo,AF_ho_rate_ci_hi,AF_min_cov_mean,AF_min_cov_ci_lo,AF_min_cov_ci_hi,AF_active_beams_mean,AF_active_beams_ci_lo,AF_active_beams_ci_hi,AF_r3_mean,AF_r3_ci_lo,AF_r3_ci_hi,AF_jw_mean,AF_jw_ci_lo,AF_jw_ci_hi,B0_MODQN_ee_mean,B0_MODQN_ee_ci_lo,B0_MODQN_ee_ci_hi,B0_MODQN_ho_rate_mean,B0_MODQN_ho_rate_ci_lo,B0_MODQN_ho_rate_ci_hi,B0_MODQN_min_cov_mean,B0_MODQN_min_cov_ci_lo,B0_MODQN_min_cov_ci_hi,B0_MODQN_active_beams_mean,B0_MODQN_active_beams_ci_lo,B0_MODQN_active_beams_ci_hi,B0_MODQN_r3_mean,B0_MODQN_r3_ci_lo,B0_MODQN_r3_ci_hi,B0_MODQN_jw_mean,B0_MODQN_jw_ci_lo,B0_MODQN_jw_ci_hi
100000000.0,114.31068497281792,110.90829832297234,117.62420879113813,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-1920372.0311518228,-2055910.1104255787,-1780162.591639159,7.068471162446349e-05,5.991210065624496e-05,8.140468532045453e-05,110.64388871570755,107.01113586136267,114.26462933300202,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-2036593.5588775964,-2163459.9530676347,-1908207.3694484634,6.759987935275535e-05,5.612417691049432e-05,7.882537734153228e-05,32.0081044173229,29.387954797075736,34.69089891738462,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-1322826.7007357476,-1480412.088861171,-1169826.0168890634,-7.983579394294788e-05,-8.899480223978876e-05,-7.030899648431639e-05,120.46478428671048,115.450920448636,125.31307570415206,0.3409166666666667,0.28792760416666663,0.39528749999999985,0.9979166666666667,0.99375,1.0,5.6499999999999995,5.35828125,5.952083333333333,-1516185.2651852046,-1687309.9607217738,-1345662.8705659346,-5.5788816483423266e-05,-0.00011082498641190189,-3.644115174137154e-06,29.67801163791018,27.11303910661827,32.246321697745785,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-1241043.194203769,-1388338.9062619766,-1092741.9794025817,-8.203303246898551e-05,-9.069738419575582e-05,-7.336636210211292e-05
200000000.0,201.317426099415,195.54303530228037,207.0522856795619,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-3332970.7813119665,-3561393.490619028,-3101623.5301075866,0.00019641817071566569,0.00017843802121452512,0.00021456683809212951,194.85102519353092,188.57240916602044,201.14768393848743,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-3545958.5938196667,-3758472.304529864,-3325170.7119120555,0.0001846489712257404,0.00016551208846757271,0.00020334791542309742,56.678537220795334,52.26871193490972,61.189068631376216,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-2234765.050876672,-2500247.02413802,-1981412.204611437,-6.086453232005443e-05,-7.625142913694157e-05,-4.491201140504518e-05,215.51149685503432,207.56244958164316,224.11747330838227,0.32935416666666667,0.2788072916666667,0.3793208333333333,0.9958333333333332,0.9895833333333334,1.0,5.618750000000001,5.329114583333333,5.916666666666667,-2638520.6976605654,-2907976.913547164,-2368267.1984012364,0.00010253036526424512,4.346563700665136e-05,0.0001635490289615752,52.07328877120738,47.779925321622095,56.358716614137855,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-2068190.9109122595,-2310774.413658027,-1823976.1776027016,-6.478883612242244e-05,-7.912595557781762e-05,-5.0472629768530565e-05
300000000.0,277.9916347095959,270.175765876648,285.7803912250135,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-4556834.1960265525,-4862356.772337017,-4248940.019631654,0.00030790441955090596,0.0002838977950546899,0.0003319499999606072,269.06354454067787,260.544652394186,277.6129932967885,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-4859960.945369008,-5142404.931767517,-4566842.576375983,0.0002883342736975348,0.00026251771297604575,0.00031338321716052354,78.56194906491338,72.62763428837577,84.6165553380905,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-2995158.2403713358,-3348255.479908981,-2661048.2001040215,-4.2453804957259914e-05,-6.296617029957156e-05,-2.1249845836036455e-05,296.9092968407247,285.2268948510009,309.11427939377927,0.3303958333333333,0.2771619791666666,0.3810328125,0.9958333333333332,0.9895833333333334,1.0,5.535416666666667,5.23125,5.829166666666667,-3657128.8400725075,-4051113.801742205,-3234307.633876769,0.0002300178561791968,0.00016284298715284545,0.0003030102373599582,71.72662059656399,66.02110383853397,77.42764647116431,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-2744246.320692812,-3063184.101602229,-2421477.1756350705,-4.803093617221962e-05,-6.687159571141923e-05,-2.9067416925291476e-05
400000000.0,347.9805420744922,338.3877426578628,357.537451890929,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-5662353.418533597,-6036202.907102601,-5292923.196195725,0.00041004953786239634,0.00038071850951375996,0.00043957454293169757,336.8139431440079,326.2821084965374,347.42713389067245,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-6051637.152654998,-6396721.799109734,-5702222.211600846,0.00038324902339127536,0.0003517030344784011,0.0004137359181284237,98.63155341084052,91.40690023462642,106.03125749835439,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-3659088.254375216,-4088747.9892207608,-3254738.106523832,-2.4478431284732284e-05,-4.941302052395425e-05,1.3182014680191844e-06,380.1947168303922,367.1995854019542,394.2460015179386,0.3051041666666667,0.25543645833333334,0.3542036458333332,0.9854166666666667,0.9708333333333333,0.9958333333333332,5.495833333333334,5.191614583333333,5.781302083333333,-4493051.567381993,-4976174.005350173,-3995036.2462377795,0.00038508902970297367,0.000312768372723531,0.00046071419150965105,89.60491121274703,82.65797479003494,96.50618743821077,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3324951.9089814215,-3708468.846504085,-2935265.9655461246,-3.166815380971589e-05,-5.440998322157702e-05,-8.744027659685345e-06
500000000.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
600000000.0,474.1336704144186,461.4750327088085,486.64227044689176,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7632141.38829672,-8124311.790972926,-7153618.699305058,0.0005949096588018514,0.0005561402260510317,0.0006342443520047314,458.96063873113076,444.9234580807188,472.9426266994342,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-8182511.63986466,-8625641.963997163,-7720462.681842795,0.0005549438404920735,0.0005133220775059549,0.0005953070351734764,134.99612243685021,125.61465391383038,144.60309401571195,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4791310.391540785,-5346673.867862982,-4268071.805714242,1.0399727904311198e-05,-2.2150177129775023e-05,4.393180872532638e-05,514.1130661251877,495.4797966779774,533.8333351530017,0.3135625,0.26639114583333334,0.35857499999999987,0.9875000000000002,0.9729166666666668,0.9979166666666667,5.477083333333333,5.19578125,5.756249999999999,-6378140.729116295,-7010927.766793928,-5708915.486829708,0.0005837580864315904,0.0005005064748528216,0.0006720141152186417,121.68767450419207,112.5938043497669,130.58565733133946,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4295000.784112726,-4779480.140237196,-3796907.8922876706,4.445587899707e-08,-2.905788891686323e-05,2.945832213411678e-05
700000000.0,531.9996859631196,517.9912513004864,545.8909730513656,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-8527532.666201474,-9071118.775958167,-8004453.240616595,0.0006799699956487872,0.000637163388606039,0.0007235008459607191,515.0035425630556,499.39704370029057,530.4118680441793,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-9152642.89957477,-9642821.783006497,-8645696.021156292,0.0006339664485860782,0.0005879424484480018,0.0006790260548714224,151.74741404660995,141.38161459306463,162.33221672674162,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5285101.143972735,-5891770.247294383,-4711358.305692359,2.737192616072606e-05,-8.390111085764356e-06,6.425076881769832e-05,577.4870130615932,556.7184928607811,598.8714540943671,0.3219791666666667,0.2747703125,0.37004375,0.9770833333333334,0.9458333333333334,0.9979166666666667,5.470833333333334,5.191614583333334,5.756249999999999,-7030990.427987141,-7757224.827496376,-6282052.961630018,0.0006810290052790333,0.0005910065712776333,0.0007714331103269424,136.34318169821796,126.3344345852821,146.17195563985504,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4710031.050338701,-5236249.565424039,-4167150.5752267586,1.544710205968535e-05,-1.642034335904037e-05,4.77123940362288e-05
800000000.0,587.1002230804505,571.8363475982648,602.2754685398874,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-9375289.14700722,-9966313.292053996,-8805944.565475885,0.0007611231720719836,0.0007145551353612208,0.0008083622534313072,568.3777247504802,551.3206222584028,585.1174677701879,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-10073159.401847726,-10606711.462670099,-9522559.934255196,0.0007093375350669925,0.0006594971253017252,0.0007587852308894682,167.73509178846814,156.47615370850346,179.235211001809,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5741241.073772584,-6396651.297997173,-5118177.859818384,4.406428897265174e-05,5.452201572694761e-06,8.400248548609787e-05,629.3965243662293,604.7375014788133,654.2854406594231,0.34379166666666666,0.2910755208333334,0.3957151041666666,0.9729166666666668,0.9333333333333332,0.9979166666666667,5.631250000000001,5.3,5.964635416666667,-8082741.584990506,-8871619.879806831,-7262967.922504012,0.0007334628800865739,0.000631630927374373,0.0008396062012230465,150.2625621860827,139.44947706303049,160.85923478503452,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-5089006.385125935,-5655345.007438285,-4505823.971488741,3.057213811979313e-05,-3.675956466546819e-06,6.530163690899309e-05
900000000.0,639.7963270871601,623.3551348233802,656.1314515503553,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-10181904.653663984,-10818419.810013989,-9573374.583899518,0.0008388703190480387,0.0007888926641208186,0.0008888602265657866,619.4321795359707,600.9737777293003,637.4689051517356,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-10951036.610193256,-11525207.033364024,-10358777.485196538,0.0007815187250513896,0.0007280446405748449,0.0008349066581550334,183.05646017753293,170.97697224018358,195.41479899679663,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-6165087.3594075255,-6861893.5146929985,-5501940.437164937,6.049422686739049e-05,1.9030177783326678e-05,0.00010325074610263035,692.7225691737913,666.0271321142312,717.6361667884134,0.3329791666666667,0.28401875,0.38423124999999997,0.9770833333333334,0.9395833333333333,0.9979166666666667,5.535416666666666,5.20828125,5.858385416666668,-8565072.687054003,-9468103.527563581,-7672492.933447799,0.0008496346394379349,0.0007405917449912194,0.0009521303234894885,163.54161944312233,151.98059919629497,174.84710665963001,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-5437285.344489264,-6040470.4614032665,-4816952.012958231,4.543396564092545e-05,9.032771441886558e-06,8.24255231681879e-05
1000000000.0,690.3685184808577,672.8207478648018,707.8025686161731,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-10952270.017047187,-11630059.649483906,-10304844.220490873,0.0009136058434716598,0.0008603505750248768,0.0009669816516230529,668.4379753447575,648.6143979913833,687.6840277811393,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-11792478.675397703,-12402849.451326253,-11162420.150928915,0.0008508429254284919,0.0007933125838074061,0.0009076120591108456,197.78726935110274,184.96970197913208,211.0355235824428,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-6560785.927337672,-7295817.582085108,-5859631.361725086,7.667609468666635e-05,3.2520877730471916e-05,0.00012204092535384538,743.9142965440284,715.2421356974484,771.0800801604914,0.34172916666666664,0.29139531249999995,0.3925682291666666,0.9770833333333334,0.9395833333333333,0.9979166666666667,5.579166666666666,5.285364583333333,5.89375,-9619673.103998525,-10517054.649453798,-8680766.664916301,0.0009117443408643214,0.0007991699230147632,0.0010220627897709095,176.25484118657064,163.99528251012225,188.27436637200378,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-5759004.759950734,-6393949.363064499,-5105254.290966486,6.004474328052736e-05,2.1594453607123793e-05,9.936954484662244e-05
