Per-Beam Power Cap P_max (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
2.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
4.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
6.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
8.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
10.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
15.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
20.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
30.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
40.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
50.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
