Per-Beam Power Cap P_max (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
2.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004848268593881861,0.0005142030384758842
4.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
6.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
8.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
10.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
15.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
20.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
30.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
40.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
50.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
