num_users,B0_MODQN_ho_rate_mean,A1_Auction_Only_ho_rate_mean,A2_MCCRL_ho_rate_mean,AF_ho_rate_mean
40.0,0.09999999999999999,0.09973958333333333,0.091875,0.348125
50.0,0.09999999999999999,0.09970833333333333,0.09379166666666666,0.33399999999999996
60.0,0.09999999999999999,0.09979166666666667,0.0926388888888889,0.3459375
70.0,0.09999999999999999,0.09970238095238097,0.09205357142857144,0.2600892857142857
80.0,0.09999999999999999,0.09981770833333332,0.09260416666666667,0.326171875
90.0,0.09999999999999999,0.09965277777777777,0.09233796296296297,0.2939583333333333
100.0,0.09999999999999999,0.09972916666666666,0.09156249999999999,0.3245
120.0,0.09999999999999999,0.09975694444444444,0.09163194444444445,0.2828645833333333
140.0,0.09999999999999999,0.09970238095238095,0.09257440476190476,0.2639285714285714
160.0,0.09999999999999999,0.09990885416666666,0.092421875,0.2391015625
180.0,0.09999999999999999,0.09984953703703703,0.09229166666666666,0.24934027777777779
200.0,0.09999999999999999,0.09984375000000001,0.09195833333333335,0.3275625
