noise_psd_dbm_hz,A2_MCCRL_ee_mean,A2_MCCRL_ee_ci_lo,A2_MCCRL_ee_ci_hi,A2_MCCRL_ho_rate_mean,A2_MCCRL_ho_rate_ci_lo,A2_MCCRL_ho_rate_ci_hi,A2_MCCRL_min_cov_mean,A2_MCCRL_min_cov_ci_lo,A2_MCCRL_min_cov_ci_hi,A2_MCCRL_active_beams_mean,A2_MCCRL_active_beams_ci_lo,A2_MCCRL_active_beams_ci_hi,A2_MCCRL_r3_mean,A2_MCCRL_r3_ci_lo,A2_MCCRL_r3_ci_hi,A2_MCCRL_jw_mean,A2_MCCRL_jw_ci_lo,A2_MCCRL_jw_ci_hi,A1_Auction_Only_ee_mean,A1_Auction_Only_ee_ci_lo,A1_Auction_Only_ee_ci_hi,A1_Auction_Only_ho_rate_mean,A1_Auction_Only_ho_rate_ci_lo,A1_Auction_Only_ho_rate_ci_hi,A1_Auction_Only_min_cov_mean,A1_Auction_Only_min_cov_ci_lo,A1_Auction_Only_min_cov_ci_hi,A1_Auction_Only_active_beams_mean,A1_Auction_Only_active_beams_ci_lo,A1_Auction_Only_active_beams_ci_hi,A1_Auction_Only_r3_mean,A1_Auction_Only_r3_ci_lo,A1_Auction_Only_r3_ci_hi,A1_Auction_Only_jw_mean,A1_Auction_Only_jw_ci_lo,A1_Auction_Only_jw_ci_hi,A2_kc0_NoCoord_ee_mean,A2_kc0_NoCoord_ee_ci_lo,A2_kc0_NoCoord_ee_ci_hi,A2_kc0_NoCoord_ho_rate_mean,A2_kc0_NoCoord_ho_rate_ci_lo,A2_kc0_NoCoord_ho_rate_ci_hi,A2_kc0_NoCoord_min_cov_mean,A2_kc0_NoCoord_min_cov_ci_lo,A2_kc0_NoCoord_min_cov_ci_hi,A2_kc0_NoCoord_active_beams_mean,A2_kc0_NoCoord_active_beams_ci_lo,A2_kc0_NoCoord_active_beams_ci_hi,A2_kc0_NoCoord_r3_mean,A2_kc0_NoCoord_r3_ci_lo,A2_kc0_NoCoord_r3_ci_hi,A2_kc0_NoCoord_jw_mean,A2_kc0_NoCoord_jw_ci_lo,A2_kc0_NoCoord_jw_ci_hi,AF_ee_mean,AF_ee_ci_lo,AF_ee_ci_hi,AF_ho_rate_mean,AF_ho_rate_ci_lo,AF_ho_rate_ci_hi,AF_min_cov_mean,AF_min_cov_ci_lo,AF_min_cov_ci_hi,AF_active_beams_mean,AF_active_beams_ci_lo,AF_active_beams_ci_hi,AF_r3_mean,AF_r3_ci_lo,AF_r3_ci_hi,AF_jw_mean,AF_jw_ci_lo,AF_jw_ci_hi,B0_MODQN_ee_mean,B0_MODQN_ee_ci_lo,B0_MODQN_ee_ci_hi,B0_MODQN_ho_rate_mean,B0_MODQN_ho_rate_ci_lo,B0_MODQN_ho_rate_ci_hi,B0_MODQN_min_cov_mean,B0_MODQN_min_cov_ci_lo,B0_MODQN_min_cov_ci_hi,B0_MODQN_active_beams_mean,B0_MODQN_active_beams_ci_lo,B0_MODQN_active_beams_ci_hi,B0_MODQN_r3_mean,B0_MODQN_r3_ci_lo,B0_MODQN_r3_ci_hi,B0_MODQN_jw_mean,B0_MODQN_jw_ci_lo,B0_MODQN_jw_ci_hi
-180,549.1337598467505,532.9922061641778,565.0059375654422,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-9183865.994706979,-9826766.312127624,-8523748.723481383,0.0006923965246235363,0.0006416625035348696,0.0007425769852724116,531.5088864832178,514.1614458415379,548.8758493182314,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-9748811.371502688,-10350153.485279076,-9135854.095961945,0.0006471138125008547,0.0005950528516658757,0.0006978136862214517,154.01603981794602,141.62632079972616,166.72279471336753,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-6275369.391886749,-7021201.404978726,-5551801.056580744,-4.471742595241356e-07,-4.393216392817428e-05,4.462845925476208e-05,579.3555972127164,554.4532135934403,603.4826596096948,0.33564583333333337,0.28484375,0.3881932291666666,0.9958333333333332,0.9895833333333334,1.0,5.6125,5.318697916666667,5.908385416666667,-7188135.845260091,-7972324.597393777,-6401911.182677411,0.00066887542865505,0.0005623692861084007,0.0007719379158954375,142.40253599143227,130.2355294111323,154.58063576240593,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-5863502.021742211,-6556908.719645561,-5166774.746393484,-1.0209727413080286e-05,-5.0682254335412994e-05,3.0572177772346985e-05
-176,458.3607780005298,445.5157079156478,471.1597764119353,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7503964.796540812,-8006331.386274011,-7000245.7595231235,0.0005679444903863188,0.0005286393807033088,0.000607524339768876,443.64124321737745,429.62445719725827,457.7282078585205,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-8005799.16808529,-8469387.108027596,-7527351.727597752,0.0005304572235437785,0.0004885416353054625,0.0005711599170844843,129.60002652111456,119.86060074331324,139.54828281614627,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4918539.82292623,-5498026.886208899,-4370526.108514455,-4.40537164273386e-06,-3.807596020263368e-05,3.0391348414543748e-05,489.89945184207977,471.222514825346,509.5355887486918,0.3307708333333333,0.27832239583333335,0.3808546875,0.99375,0.9833333333333334,1.0,5.541666666666667,5.241666666666666,5.83546875,-6037014.060449879,-6675172.078739555,-5348444.886595898,0.000533169137477309,0.0004445319855095461,0.0006275249174610956,118.22536245658297,108.87028281075169,127.56188281845111,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4500324.338766864,-5022385.93857683,-3971291.0110713732,-1.3489250329812462e-05,-4.4312874096856404e-05,1.7645447572084007e-05
-172,367.8646403960362,358.29188003106094,377.38226971860786,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-5875961.796379229,-6246687.466850823,-5518909.995292999,0.00044234640038080396,0.00041321749234643647,0.0004718676776216485,356.13186869386664,345.4293460572858,366.6326251817048,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-6312855.53074329,-6647783.13169919,-5967521.3665859355,0.0004128750387149705,0.0003810381588506551,0.0004438349488629109,105.08708744004973,98.02210679015036,112.30114402926236,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-3601487.554706841,-4012945.863339641,-3210380.845018311,-9.85234851725588e-06,-3.408454670992435e-05,1.520680667587144e-05,394.778094619712,379.32624327147187,410.32283887631064,0.3430208333333333,0.29026874999999996,0.39450572916666665,0.9729166666666668,0.9333333333333332,0.9979166666666667,5.614583333333335,5.285364583333333,5.948020833333333,-5012211.555932922,-5520203.018793992,-4500840.464982344,0.00037060570095301637,0.0002937558106331797,0.00044949459862560833,94.16065573687926,87.3748459009544,100.81174534243173,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3193597.6165410546,-3549014.73473687,-2827654.6929165563,-1.8387909470472137e-05,-3.9873157202279015e-05,3.4167028761988995e-06
-168,279.02286292276256,272.51372200763643,285.62165618891095,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-4327005.94859333,-4571434.757194374,-4085988.0511881583,0.00031743685781207825,0.00029836837954804173,0.00033712035861403484,270.3422631241253,262.7038101457506,277.7490819482414,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-4706267.54115576,-4929323.668324676,-4481470.428832562,0.00029587218468249014,0.000274059726266536,0.0003169234092657553,80.65477805837047,75.91508773627147,85.44374772304005,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-2376330.4990583444,-2633930.843795834,-2129952.0551184467,-1.8137386581736755e-05,-3.3837473546771845e-05,-1.6899921427097094e-06,314.33645496788984,304.36109136005507,323.6758080295385,0.28360416666666666,0.24258177083333335,0.3267942708333333,0.96875,0.9291145833333333,0.99375,5.377083333333334,5.08953125,5.650000000000001,-3950464.1824896936,-4288301.3335878905,-3605902.1465023495,0.0002929684129983391,0.00023805958054141279,0.00034674973445592445,70.51588305072107,66.18568178674342,74.7426457271942,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-2011023.877985984,-2223893.1016344326,-1790121.7326587818,-2.650675248761292e-05,-3.9654214285310806e-05,-1.3121200461122415e-05
-164,195.08243452643458,191.12225990126083,199.0997003613256,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-2933532.766383512,-3084380.192748741,-2787054.9113246924,0.00019713446274961615,0.0001859712750234924,0.0002084108423109456,189.37579419583642,184.48505695678233,194.08588369722386,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-3232642.7168319384,-3373832.751475564,-3099381.3168850364,0.00018405653797792603,0.00017043339095916237,0.00019677021467105098,57.01480850434525,54.123657461815625,59.84873616337359,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-1339242.005147436,-1470780.4075557448,-1212828.1065007453,-3.099192619650773e-05,-3.956946486375268e-05,-2.2057543305154876e-05,232.84654061343812,225.32876003633177,240.5325877575475,0.2013125,0.1723708333333333,0.23341979166666668,0.975,0.9499999999999998,0.99375,5.0062500000000005,4.758333333333334,5.260416666666667,-2968901.0260993936,-3242999.7872448834,-2672128.274297173,0.00022520342163756673,0.00018855361220339483,0.0002607195527615632,48.20450459633436,45.86672257159484,50.51335583772336,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-1062110.197533819,-1169019.12123486,-954989.379575953,-3.9613731629673764e-05,-4.634109603264045e-05,-3.2977861034197635e-05
-160,122.0805665802492,119.9822312085499,124.23107361101859,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-1798684.5448908992,-1889127.217502272,-1712760.8982298337,8.999642928535168e-05,8.467104996016575e-05,9.544944775466013e-05,118.95330016667896,116.13193685572178,121.74540036281422,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-1997208.3911049457,-2085695.4414511553,-1913668.5318157552,8.52925831436524e-05,7.767477170611545e-05,9.233815827618058e-05,35.891840979785115,34.335608537028754,37.450587358872504,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-608255.3568617136,-659792.0885602593,-556601.1676109083,-4.8860179408362234e-05,-5.269566920144406e-05,-4.484275133472602e-05,157.46765287505198,153.05008270201142,162.31204727242093,0.13266666666666668,0.12097708333333332,0.14470989583333332,0.975,0.9416666666666668,0.9979166666666667,4.872916666666667,4.616666666666667,5.11046875,-2266508.84473769,-2455851.935393915,-2070376.826402343,0.0001449579552187569,0.00012772168561027715,0.00016287137915774362,29.104655029458716,28.050972934981395,30.15313045573585,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-447528.1944348842,-488017.13773967937,-406036.226316937,-5.728373373238483e-05,-5.9879046066745376e-05,-5.46215558440487e-05
-156,66.98362901210795,66.00680852513395,68.05185355503546,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-1010707.8703755867,-1065529.1231501596,-957493.4207787664,6.900568416199513e-06,4.538898649513955e-06,9.339569757633864e-06,65.663944546606,64.13165104705004,67.16912708176396,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-1118532.7844185864,-1176840.1706248152,-1065127.6512796273,8.724306193249334e-06,4.365426653479948e-06,1.2938136623555738e-05,19.65485549387116,18.92111766269463,20.427949211072523,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-220956.08049744513,-235394.81786641042,-205994.52572726345,-6.829015860610869e-05,-6.987041451218077e-05,-6.671549215398418e-05,88.97034426112039,86.17065472210344,92.06137172627652,0.11866666666666666,0.11003958333333333,0.1277942708333333,0.9604166666666667,0.9,1.0,4.95625,4.720833333333333,5.185468749999999,-1490350.0368173134,-1617677.6700598693,-1350400.153823796,4.380852681334696e-05,3.184061230031216e-05,5.5662110668363054e-05,15.277179973850192,14.843805325576074,15.735350026208128,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-156817.84573660154,-170079.04356898487,-143470.6122536111,-7.51061611301477e-05,-7.602599350964725e-05,-7.414483272500425e-05
-152,32.40135143261188,31.91391395056608,32.92445161566018,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-517781.568875488,-548974.2553268508,-487354.1468492434,-4.5309628088618424e-05,-4.679757231492189e-05,-4.390363817286198e-05,31.997094915638726,31.2116911518024,32.78051402256154,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-569652.4740466758,-603314.3976412368,-537103.209932129,-3.9853239231308414e-05,-4.266607535413253e-05,-3.701151898167304e-05,9.440693650403174,9.100271138203912,9.796266831439404,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-74596.72999081541,-79467.03971065149,-69550.8805275745,-8.368577435244634e-05,-8.43394880141722e-05,-8.300476239759104e-05,45.737963114733,44.06589097390547,47.53866525976922,0.10152083333333332,0.09562447916666666,0.10808333333333332,0.96875,0.9166666666666666,1.0,4.985416666666667,4.747864583333333,5.214635416666667,-825805.8305757862,-894909.4511260502,-752598.1291471663,-5.0464678590006745e-06,-1.3092185124072756e-05,2.819978918612744e-06,7.102266342901004,6.918302631253124,7.290821096469617,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-55791.784231424164,-61035.65612631438,-51007.21926953696,-8.795359417833363e-05,-8.848393400269128e-05,-8.747591334019102e-05
-148,14.271697905574484,14.038806545185722,14.523529348090658,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-239277.21889802502,-254633.4996139417,-224421.1505154163,-7.202542894351657e-05,-7.331796439704381e-05,-7.095362701888291e-05,14.181749531089316,13.80680688739959,14.564774541218474,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-264026.33287181857,-280463.0762212184,-248273.5769031856,-6.506378347536126e-05,-6.722962396159191e-05,-6.284704709493834e-05,4.1304168743672705,3.9801172056933845,4.2924340529305605,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-29196.96902487926,-31307.97109989997,-27075.38349049331,-9.269089741003376e-05,-9.297702230491116e-05,-9.239702314421967e-05,21.353876830562772,20.469038576745586,22.325007518235342,0.10079166666666667,0.09478906250000001,0.10691874999999999,0.9770833333333333,0.9333333333333332,1.0,4.983333333333333,4.75828125,5.191718750000001,-401547.27460517664,-438529.9523803258,-364445.56385636854,-3.8942349113535675e-05,-4.571781777549936e-05,-3.221662588691041e-05,3.0477996413407533,2.968897608737541,3.1289364205149086,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-22243.71310205287,-24449.903671342872,-20271.223731079233,-9.48655001830019e-05,-9.531421725421851e-05,-9.452610533972022e-05
-144,5.951550390151295,5.850036721611572,6.064306612495719,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-102445.44931585161,-109156.50512814842,-95882.21195379061,-8.399179941110746e-05,-8.524037954957259e-05,-8.29998648234722e-05,5.936755493385992,5.774979350686965,6.105509822304866,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-113536.17295986261,-120874.89108137182,-106604.21924378171,-7.643626749324282e-05,-7.835334950775314e-05,-7.452342677499724e-05,1.7154387650896707,1.6514855233858434,1.7835305420149168,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-12230.832167625585,-13138.027246262138,-11329.679095963584,-9.690624164436147e-05,-9.70247923245912e-05,-9.678752634052476e-05,9.284473862627708,8.85586295669007,9.746441328829485,0.09877083333333332,0.09329114583333332,0.10448125,0.975,0.9291666666666667,1.0,4.983333333333333,4.75828125,5.2000520833333335,-178925.7291386254,-196061.25456101602,-161624.07065854894,-5.378666929429301e-05,-5.981889647960071e-05,-4.77875155738586e-05,1.2538990757860244,1.2209242197589416,1.287546088795487,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-9161.294319880115,-10061.585507868751,-8369.113324867096,-9.798111125134598e-05,-9.840241636989498e-05,-9.76868140580033e-05
