Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
-180,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-176,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-172,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-168,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-164,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-160,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-156,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-152,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-148,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-144,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
-140,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
