p_base_w,A2_MCCRL_ee_mean,A2_MCCRL_ee_ci_lo,A2_MCCRL_ee_ci_hi,A2_MCCRL_ho_rate_mean,A2_MCCRL_ho_rate_ci_lo,A2_MCCRL_ho_rate_ci_hi,A2_MCCRL_min_cov_mean,A2_MCCRL_min_cov_ci_lo,A2_MCCRL_min_cov_ci_hi,A2_MCCRL_active_beams_mean,A2_MCCRL_active_beams_ci_lo,A2_MCCRL_active_beams_ci_hi,A2_MCCRL_r3_mean,A2_MCCRL_r3_ci_lo,A2_MCCRL_r3_ci_hi,A2_MCCRL_jw_mean,A2_MCCRL_jw_ci_lo,A2_MCCRL_jw_ci_hi,A1_Auction_Only_ee_mean,A1_Auction_Only_ee_ci_lo,A1_Auction_Only_ee_ci_hi,A1_Auction_Only_ho_rate_mean,A1_Auction_Only_ho_rate_ci_lo,A1_Auction_Only_ho_rate_ci_hi,A1_Auction_Only_min_cov_mean,A1_Auction_Only_min_cov_ci_lo,A1_Auction_Only_min_cov_ci_hi,A1_Auction_Only_active_beams_mean,A1_Auction_Only_active_beams_ci_lo,A1_Auction_Only_active_beams_ci_hi,A1_Auction_Only_r3_mean,A1_Auction_Only_r3_ci_lo,A1_Auction_Only_r3_ci_hi,A1_Auction_Only_jw_mean,A1_Auction_Only_jw_ci_lo,A1_Auction_Only_jw_ci_hi,A2_kc0_NoCoord_ee_mean,A2_kc0_NoCoord_ee_ci_lo,A2_kc0_NoCoord_ee_ci_hi,A2_kc0_NoCoord_ho_rate_mean,A2_kc0_NoCoord_ho_rate_ci_lo,A2_kc0_NoCoord_ho_rate_ci_hi,A2_kc0_NoCoord_min_cov_mean,A2_kc0_NoCoord_min_cov_ci_lo,A2_kc0_NoCoord_min_cov_ci_hi,A2_kc0_NoCoord_active_beams_mean,A2_kc0_NoCoord_active_beams_ci_lo,A2_kc0_NoCoord_active_beams_ci_hi,A2_kc0_NoCoord_r3_mean,A2_kc0_NoCoord_r3_ci_lo,A2_kc0_NoCoord_r3_ci_hi,A2_kc0_NoCoord_jw_mean,A2_kc0_NoCoord_jw_ci_lo,A2_kc0_NoCoord_jw_ci_hi,AF_ee_mean,AF_ee_ci_lo,AF_ee_ci_hi,AF_ho_rate_mean,AF_ho_rate_ci_lo,AF_ho_rate_ci_hi,AF_min_cov_mean,AF_min_cov_ci_lo,AF_min_cov_ci_hi,AF_active_beams_mean,AF_active_beams_ci_lo,AF_active_beams_ci_hi,AF_r3_mean,AF_r3_ci_lo,AF_r3_ci_hi,AF_jw_mean,AF_jw_ci_lo,AF_jw_ci_hi,B0_MODQN_ee_mean,B0_MODQN_ee_ci_lo,B0_MODQN_ee_ci_hi,B0_MODQN_ho_rate_mean,B0_MODQN_ho_rate_ci_lo,B0_MODQN_ho_rate_ci_hi,B0_MODQN_min_cov_mean,B0_MODQN_min_cov_ci_lo,B0_MODQN_min_cov_ci_hi,B0_MODQN_active_beams_mean,B0_MODQN_active_beams_ci_lo,B0_MODQN_active_beams_ci_hi,B0_MODQN_r3_mean,B0_MODQN_r3_ci_lo,B0_MODQN_r3_ci_hi,B0_MODQN_jw_mean,B0_MODQN_jw_ci_lo,B0_MODQN_jw_ci_hi
0.1,443.79030604629577,431.8859628297629,455.5611960587938,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6539418.849013011,-6962223.018216586,-6127306.174092456,0.0005706328914099552,0.0005355765772495466,0.0006062020970957552,429.49741475331587,416.373281317645,442.61467449911197,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7023346.389393974,-7401406.21279639,-6632631.41553473,0.0005345721458961757,0.0004968714360999366,0.0005708810356514286,128.51093808017507,119.53815579526935,137.7072153531718,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4088431.4093640363,-4561318.432488213,-3641965.5702850902,2.0519081082876315e-05,-8.973101431897048e-06,5.120486917102511e-05,472.14021086255656,454.04968802463634,490.44090870223687,0.31083333333333335,0.2615,0.3591255208333333,0.975,0.9354166666666668,0.9979166666666667,5.439583333333334,5.1187499999999995,5.779218749999999,-5411694.619996339,-6035860.416004376,-4821973.517389315,0.0005350936586205125,0.00045223433657981223,0.000617195567303742,116.04385984438477,107.30555757544924,124.64047901005317,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3677100.3232662645,-4091088.3220820334,-3252383.337592827,9.053532995115987e-06,-1.7269869479571607e-05,3.586303800380566e-05
0.25,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
0.5,371.2295389020948,360.99472711848057,381.38442873965255,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6905161.667819231,-7359686.336273847,-6450324.65981109,0.0004154222424716973,0.0003823047375253321,0.00044890060025302465,359.4177636902171,348.1580225579744,370.7168220156325,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7356681.145766131,-7780682.0874361815,-6917634.796110829,0.0003853178405016829,0.0003501697634958459,0.0004200533521038161,102.81976806551549,95.30854787426753,110.47139591514748,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4492495.835101631,-5024650.568419669,-3995303.490190443,-4.339082749694977e-05,-7.179088924316714e-05,-1.4011787277854452e-05,390.8196778274796,371.7144421939743,409.70117136178374,0.37614583333333335,0.31990260416666666,0.4326338541666666,1.0,1.0,1.0,5.745833333333334,5.420833333333333,6.075,-5909515.957974195,-6507143.024726341,-5281017.89174434,0.00031201397883485793,0.00022120712479933166,0.00040206353045717463,93.27405200546605,86.08077709676117,100.42314861765098,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4071319.871720811,-4541954.040394515,-3592219.4780788613,-4.876663004576971e-05,-7.458771917840563e-05,-2.2808972428472234e-05
0.75,337.9363574927076,328.44654337769424,347.33809484811786,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7110131.55677307,-7586359.107960404,-6635348.868809982,0.00034299480184326464,0.0003105888553382455,0.00037565790572023834,327.2535694349076,316.9952868551718,337.6257730266512,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7545826.577004903,-7993448.187843142,-7082159.228940948,0.0003156358788946922,0.0002816161904339671,0.00034943960033500344,91.74099515636073,84.89752717938025,98.71835609892783,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4700477.174317398,-5259798.65746102,-4174423.4221760686,-7.205099957878696e-05,-9.982946500387946e-05,-4.2991426531730314e-05,347.3802036486206,328.36376681111767,367.0943154718596,0.41672916666666665,0.35558020833333337,0.4736953125,0.9979166666666667,0.99375,1.0,5.9125000000000005,5.58953125,6.233333333333333,-6393344.031122004,-6977379.536358736,-5776702.830685634,0.0001801857705918309,8.609272542208167e-05,0.00028170213758884255,83.41297626659033,76.88678436832001,89.9032612818623,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4275355.702529457,-4776479.250522776,-3769299.4292537086,-7.489359924853643e-05,-0.00010027104649672828,-4.9170466939421636e-05
1.0,310.6795955117363,301.86995411393593,319.4118283384118,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7298697.251701115,-7788027.10405933,-6797346.016669488,0.0002830221679930685,0.0002511926905762213,0.00031491490187895716,300.91571130854277,291.38782071780474,310.5357298814703,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7721820.746343036,-8190995.002489744,-7242227.559217606,0.00025788778648358257,0.00022470328799346952,0.00029066346672781404,82.9867237840212,76.69103455165937,89.41013712499316,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4883828.720837988,-5465593.950478955,-4334874.897293183,-9.531778356077476e-05,-0.0001228409904075289,-6.641346150659638e-05,306.37113746648333,288.33371399126764,325.83669905029603,0.4817291666666667,0.41949010416666666,0.5435895833333333,0.9958333333333332,0.9895833333333334,1.0,6.058333333333334,5.664583333333333,6.458333333333333,-6719814.254035178,-7312911.050196896,-6073926.029067792,4.329455751721103e-05,-5.227648569054209e-05,0.0001451814970028658,75.59945110482528,69.60233156615699,81.59539019703675,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4455737.67668603,-4981804.242578625,-3926085.465562937,-9.620589054269498e-05,-0.00012139495543015641,-7.039015429200552e-05
1.25,287.8906118425485,279.67716116169584,296.08135285312704,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7471823.726097586,-7976767.462323075,-6959958.980920345,0.0002323753634260762,0.0002011171711643606,0.0002637967440897289,278.8904677853597,269.9779771097849,287.93277541344446,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7885147.798407791,-8371280.703640935,-7391227.183612476,0.00020906871509892576,0.000176593760473465,0.0002410675495561988,75.877531891506,70.03980107080872,81.82825636055472,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5047435.257595071,-5649105.432150943,-4476134.11038872,-0.00011469211759774597,-0.00014214858977480919,-8.597472800559381e-05,293.2786903995737,276.64355060991863,311.2198128085414,0.4404166666666667,0.3767057291666667,0.5040453125000001,0.9979166666666667,0.99375,1.0,5.904166666666666,5.50828125,6.316666666666666,-6500678.173014265,-7148419.537803893,-5805516.328489686,5.6701045569161635e-05,-3.8445412543989545e-05,0.00015482295929885933,69.23894870948237,63.702617300003155,74.79020566969493,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4617385.720892143,-5167452.822107476,-4067571.598816888,-0.00011403795264713124,-0.00013921727177765658,-8.822737073584538e-05
1.5,268.51394336938915,260.7893445254758,276.16291576246607,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7631498.618461513,-8149724.039143144,-7103861.46181914,0.00018890539769070942,0.0001580913787267873,0.00022003346767886814,260.15937963997266,251.85482077272337,268.671966478077,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-8036885.512024675,-8538752.021341044,-7524595.991340124,0.00016713241990081644,0.00013516846250015297,0.0001982681716156913,69.97837830954126,64.52953727286038,75.50580095202886,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5195094.158066477,-5815058.490151754,-4604232.344643764,-0.0001311569080228032,-0.0001586727384084973,-0.00010264545893451103,271.8591869580513,255.21252580401682,288.9383923859548,0.4680416666666667,0.40044687500000004,0.5344015624999999,1.0,1.0,1.0,5.9375,5.558281249999999,6.318749999999999,-6541118.453795384,-7239024.077223533,-5787516.4900417,-5.779331703913252e-06,-0.00010605077817423852,9.783158313739627e-05,63.94987886115772,58.801316165921385,69.09454049211902,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4763861.418010627,-5334014.953740339,-4194701.951416115,-0.0001292594548340977,-0.00015435497216091087,-0.00010340771124605738
1.75,251.80963483622656,244.4771246700924,259.03971149314935,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7779319.527693699,-8309098.177881419,-7235285.480604508,0.00015109901684102705,0.00012079466340723547,0.00018196123965151265,244.00845358390168,236.17784041191763,252.0553147401281,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-8178938.790411208,-8694808.86988488,-7658367.742648871,0.00013060688940919664,9.937184016255698e-05,0.00016137214029166065,64.99702744547378,59.883062541788746,70.1843252815427,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5329637.76387278,-5967907.072793213,-4720659.456756664,-0.00014538159565846912,-0.00017272897475570248,-0.00011705455229743788,252.8772121969147,237.72493821366248,269.2728621754554,0.48699999999999993,0.4205619791666666,0.5512229166666667,1.0,1.0,1.0,5.96875,5.59375,6.368802083333333,-6875377.108577415,-7558291.143822875,-6165965.477846178,-6.934609647719408e-05,-0.00016431303832092258,2.953823589031094e-05,59.47530744132379,54.658102690493585,64.28494409183915,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-4897756.849271832,-5485878.3202857105,-4311732.299036186,-0.00014246229378423126,-0.00016774255225893278,-0.00011658904485052009
2.0,237.24168412657502,230.2919272569048,244.12105788849797,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-7917089.173177282,-8457813.480993258,-7358551.687755122,0.00011783901098621588,8.789312173152698e-05,0.00014844301157284663,229.92048481530344,222.53583486640775,237.52227653108392,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-8311946.698590146,-8840472.317560924,-7780883.168836817,9.844998571410904e-05,6.787846795594852e-05,0.0001287471252365486,60.729480222889784,55.907292704550734,65.62471969254413,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5453228.346081084,-6108231.140637359,-4827628.858332916,-0.00015783953066998753,-0.0001852434421920786,-0.00012937246255187123,234.71215146531895,220.4026739272639,249.8585723164695,0.50225,0.4371145833333333,0.565171875,1.0,1.0,1.0,5.96875,5.595833333333334,6.377135416666666,-7111345.54181496,-7805663.469464332,-6383087.123313814,-0.00011919702071807518,-0.0002121339276963806,-2.3323826170892004e-05,55.63548111947711,51.09636177989895,60.19070728640686,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-5020918.489768101,-5626216.262667895,-4417862.00692142,-0.00015406164293309477,-0.00017952083752773812,-0.00012837989256747381
2.5,213.01494537606862,206.7104362978728,219.29698779384233,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-8166193.523875369,-8725637.96173997,-7584954.926049462,6.187504337381337e-05,3.234057622867847e-05,9.205401041907065e-05,206.48600500990307,199.792211754298,213.34375499196642,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-8554356.460130831,-9104762.509541811,-8002944.817054096,4.426879771416399e-05,1.4478665875703164e-05,7.412514994782194e-05,53.786179182586416,49.44874286650725,58.18635370151403,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-5673803.108906215,-6356762.741139686,-5018638.757765529,-0.00017874437886315577,-0.0002065060777250952,-0.00015014732795247832,209.92905995181013,195.35135121030464,224.07741538528109,0.5210208333333334,0.4524104166666667,0.5922708333333333,1.0,1.0,1.0,6.087500000000001,5.672864583333332,6.518802083333334,-7362129.021497042,-8160361.519261964,-6546550.976664084,-0.00019189168129593972,-0.00029481042321643955,-9.320435933702607e-05,49.374598521013795,45.26384927329829,53.49285177355616,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-5241137.665447786,-5876344.966270927,-4609651.584415769,-0.00017360736150411464,-0.00019936323981454323,-0.00014791584736108382
