Noise PSD (dBm/Hz),MODQN,MCRL w/o experience shaping,MCRL w/o reward shaping,MCRL w/o penalty shaping,MCRL
-180.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-178.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-176.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-174.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-172.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-170.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-168.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-166.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-164.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-162.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
-160.0,-0.09833854166666667,-0.10689583333333331,-0.08948784722222224,-0.09242534722222223,-0.08660590277777779
