{'t': 0, 'ctx_s': 25.97309044499707, 'evaluations': 2126, 'step_s': 0.37534995999885723, 'outage_users': 75}
{'t': 1, 'ctx_s': 2.051734660002694, 'evaluations': 101, 'step_s': 0.2660704700028873, 'outage_users': 0}
{'t': 2, 'ctx_s': 1.9556178919956437, 'evaluations': 101, 'step_s': 0.3301722600008361, 'outage_users': 0}
{'t': 3, 'ctx_s': 1.9304106030031107, 'evaluations': 101, 'step_s': 0.3369979529961711, 'outage_users': 0}
{'t': 4, 'ctx_s': 2.080400496997754, 'evaluations': 101, 'step_s': 0.30145613399508875, 'outage_users': 0}
{'t': 5, 'ctx_s': 2.461624360999849, 'evaluations': 121, 'step_s': 0.32028944000194315, 'outage_users': 1}
{'t': 6, 'ctx_s': 1.7610389280016534, 'evaluations': 101, 'step_s': 0.2646234020066913, 'outage_users': 0}
{'t': 7, 'ctx_s': 1.7733428119972814, 'evaluations': 101, 'step_s': 0.26945674900343874, 'outage_users': 0}
{'t': 8, 'ctx_s': 1.9313949620045605, 'evaluations': 101, 'step_s': 0.2797699389993795, 'outage_users': 0}
{'t': 9, 'ctx_s': 1.8602325370011386, 'evaluations': 101, 'step_s': 0.046472075999190565, 'outage_users': 0}
