p_max_w,A2_MCCRL_ee_mean,A2_MCCRL_ee_ci_lo,A2_MCCRL_ee_ci_hi,A2_MCCRL_ho_rate_mean,A2_MCCRL_ho_rate_ci_lo,A2_MCCRL_ho_rate_ci_hi,A2_MCCRL_min_cov_mean,A2_MCCRL_min_cov_ci_lo,A2_MCCRL_min_cov_ci_hi,A2_MCCRL_active_beams_mean,A2_MCCRL_active_beams_ci_lo,A2_MCCRL_active_beams_ci_hi,A2_MCCRL_r3_mean,A2_MCCRL_r3_ci_lo,A2_MCCRL_r3_ci_hi,A2_MCCRL_jw_mean,A2_MCCRL_jw_ci_lo,A2_MCCRL_jw_ci_hi,A1_Auction_Only_ee_mean,A1_Auction_Only_ee_ci_lo,A1_Auction_Only_ee_ci_hi,A1_Auction_Only_ho_rate_mean,A1_Auction_Only_ho_rate_ci_lo,A1_Auction_Only_ho_rate_ci_hi,A1_Auction_Only_min_cov_mean,A1_Auction_Only_min_cov_ci_lo,A1_Auction_Only_min_cov_ci_hi,A1_Auction_Only_active_beams_mean,A1_Auction_Only_active_beams_ci_lo,A1_Auction_Only_active_beams_ci_hi,A1_Auction_Only_r3_mean,A1_Auction_Only_r3_ci_lo,A1_Auction_Only_r3_ci_hi,A1_Auction_Only_jw_mean,A1_Auction_Only_jw_ci_lo,A1_Auction_Only_jw_ci_hi,A2_kc0_NoCoord_ee_mean,A2_kc0_NoCoord_ee_ci_lo,A2_kc0_NoCoord_ee_ci_hi,A2_kc0_NoCoord_ho_rate_mean,A2_kc0_NoCoord_ho_rate_ci_lo,A2_kc0_NoCoord_ho_rate_ci_hi,A2_kc0_NoCoord_min_cov_mean,A2_kc0_NoCoord_min_cov_ci_lo,A2_kc0_NoCoord_min_cov_ci_hi,A2_kc0_NoCoord_active_beams_mean,A2_kc0_NoCoord_active_beams_ci_lo,A2_kc0_NoCoord_active_beams_ci_hi,A2_kc0_NoCoord_r3_mean,A2_kc0_NoCoord_r3_ci_lo,A2_kc0_NoCoord_r3_ci_hi,A2_kc0_NoCoord_jw_mean,A2_kc0_NoCoord_jw_ci_lo,A2_kc0_NoCoord_jw_ci_hi,AF_ee_mean,AF_ee_ci_lo,AF_ee_ci_hi,AF_ho_rate_mean,AF_ho_rate_ci_lo,AF_ho_rate_ci_hi,AF_min_cov_mean,AF_min_cov_ci_lo,AF_min_cov_ci_hi,AF_active_beams_mean,AF_active_beams_ci_lo,AF_active_beams_ci_hi,AF_r3_mean,AF_r3_ci_lo,AF_r3_ci_hi,AF_jw_mean,AF_jw_ci_lo,AF_jw_ci_hi,B0_MODQN_ee_mean,B0_MODQN_ee_ci_lo,B0_MODQN_ee_ci_hi,B0_MODQN_ho_rate_mean,B0_MODQN_ho_rate_ci_lo,B0_MODQN_ho_rate_ci_hi,B0_MODQN_min_cov_mean,B0_MODQN_min_cov_ci_lo,B0_MODQN_min_cov_ci_hi,B0_MODQN_active_beams_mean,B0_MODQN_active_beams_ci_lo,B0_MODQN_active_beams_ci_hi,B0_MODQN_r3_mean,B0_MODQN_r3_ci_lo,B0_MODQN_r3_ci_hi,B0_MODQN_jw_mean,B0_MODQN_jw_ci_lo,B0_MODQN_jw_ci_hi
2.0,416.9774665012845,405.93487163125565,428.0981957331164,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6646240.185013895,-7083852.998467414,-6217501.653478165,0.0005142030384758842,0.0004800169002431341,0.0005488754319667919,405.3382078492797,392.7214460605997,417.88661617793747,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7085877.098035135,-7484236.010572849,-6675449.835381786,0.0004848268593881861,0.0004474255629960765,0.0005210132662606309,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,487.2309308500981,466.49590829588,507.88353267361094,0.3011875,0.2491171875,0.3539390625,0.9854166666666667,0.9708333333333332,0.9979166666666667,5.439583333333334,5.1187499999999995,5.739583333333333,-4993920.056779428,-5592851.799903847,-4373762.51620668,0.0005816403619863571,0.0004892624956725366,0.0006769325969685631,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
4.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
6.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
8.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
10.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
15.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
20.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
30.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
40.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
50.0,413.01985906029046,401.82501774183146,424.0915463329845,0.09819444444444443,0.09729843749999999,0.09959045138888889,0.6833333333333333,0.6041319444444444,0.7569444444444444,5.986111111111111,5.965277777777778,6.0,-6680907.391939709,-7116766.412400869,-6251101.6241658125,0.000505257469175253,0.00047108587561547373,0.0005399493623130516,399.78262947706753,387.4286315798078,412.1815350357898,0.09724999999999999,0.09661805555555554,0.09788194444444442,0.5972222222222222,0.5208333333333334,0.6736111111111112,5.9319444444444445,5.883333333333334,5.973611111111111,-7153121.394080121,-7549016.907570808,-6744761.109246475,0.0004716633285054272,0.00043487066710010347,0.0005071458948293566,117.35148161358072,108.99972131695496,125.88563038431863,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,3.0,3.0,3.0,-4252683.700502745,-4750204.814326041,-3785370.7692852174,-6.8741351435067155e-06,-3.574769919739114e-05,2.2995147971032355e-05,448.27927515100396,431.8551674010906,465.6453482808347,0.30739583333333337,0.2595395833333333,0.3544416666666666,0.9916666666666667,0.9812499999999998,1.0,5.479166666666667,5.1790625,5.770833333333333,-5452191.366877582,-6039452.025759832,-4848767.105735542,0.00048759252841219466,0.00040755714911338,0.0005693863195547675,106.1681326059016,98.09551195967117,114.1032248244065,0.10026388888888887,0.09999999999999999,0.10065972222222222,0.0,0.0,0.0,3.038888888888889,3.0,3.0972222222222223,-3836705.9020020645,-4273353.815917442,-3390559.6571803303,-1.5653220082071613e-05,-4.176521901549211e-05,1.0709025867205234e-05
