Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
0.1,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
0.25,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
0.5,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
0.75,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
1.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
1.25,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
1.5,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
1.75,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
2.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
2.5,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09819444444444443
