Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
-180,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.33564583333333337,0.09819444444444443
-176,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3307708333333333,0.09819444444444443
-172,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.3430208333333333,0.09819444444444443
-168,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.28360416666666666,0.09819444444444443
-164,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.2013125,0.09819444444444443
-160,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.13266666666666668,0.09819444444444443
-156,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.11866666666666666,0.09819444444444443
-152,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.10152083333333332,0.09819444444444443
-148,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.10079166666666667,0.09819444444444443
-144,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09877083333333332,0.09819444444444443
-140,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.09741666666666667,0.09819444444444443
