Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
-180,0.0,0.0,0.5972222222222222,0.9958333333333332,0.6833333333333333
-176,0.0,0.0,0.5972222222222222,0.99375,0.6833333333333333
-172,0.0,0.0,0.5972222222222222,0.9729166666666668,0.6833333333333333
-168,0.0,0.0,0.5972222222222222,0.96875,0.6833333333333333
-164,0.0,0.0,0.5972222222222222,0.975,0.6833333333333333
-160,0.0,0.0,0.5972222222222222,0.975,0.6833333333333333
-156,0.0,0.0,0.5972222222222222,0.9604166666666667,0.6833333333333333
-152,0.0,0.0,0.5972222222222222,0.96875,0.6833333333333333
-148,0.0,0.0,0.5972222222222222,0.9770833333333333,0.6833333333333333
-144,0.0,0.0,0.5972222222222222,0.975,0.6833333333333333
-140,0.0,0.0,0.5972222222222222,0.9666666666666667,0.6833333333333333
