Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
100000000.0,3.038888888888889,3.0,5.9319444444444445,5.6499999999999995,5.986111111111111
200000000.0,3.038888888888889,3.0,5.9319444444444445,5.618750000000001,5.986111111111111
300000000.0,3.038888888888889,3.0,5.9319444444444445,5.535416666666667,5.986111111111111
400000000.0,3.038888888888889,3.0,5.9319444444444445,5.495833333333334,5.986111111111111
500000000.0,3.038888888888889,3.0,5.9319444444444445,5.479166666666667,5.986111111111111
600000000.0,3.038888888888889,3.0,5.9319444444444445,5.477083333333333,5.986111111111111
700000000.0,3.038888888888889,3.0,5.9319444444444445,5.470833333333334,5.986111111111111
800000000.0,3.038888888888889,3.0,5.9319444444444445,5.631250000000001,5.986111111111111
900000000.0,3.038888888888889,3.0,5.9319444444444445,5.535416666666666,5.986111111111111
1000000000.0,3.038888888888889,3.0,5.9319444444444445,5.579166666666666,5.986111111111111
