Bandwidth_MHz,MCCRL,MCCRL (inf-only),Coord. Alloc (AF),DQN (scalar),DQN (throughput),Round-robin,RSS-max,MODQN
100.0,1.0458167712459805,1.064708527358049,0.9703463445060551,1.3249032926535533,0.8640909330921276,0.6099699632475839,0.38998213820615496,0.28177641972451295
150.0,1.4659575419414637,1.4924803848725947,1.3589277212235935,1.8657619973000468,1.2267948918063045,0.8534336209598056,0.55120906448886,0.39232268175141993
200.0,1.8566508515623388,1.8901513028028603,1.7524097970255714,2.3515257446333355,1.5595425726090149,1.0792567577213164,0.7028562300238675,0.49440675282935265
300.0,2.576392273176643,2.6223929166769198,2.4313753397414684,3.259258318423649,2.1556575773469815,1.4939544766350097,0.9860908034667607,0.681006844324814
400.0,3.236513834865602,3.2935318322174862,3.0997820379181187,4.081834367667766,2.7140029405233683,1.8729037550106784,1.2499042399156126,0.8507568877988653
500.0,3.8520959167480013,3.918973027404705,3.7251282154794967,4.842398708434984,3.235836286544863,2.2251435580950454,1.4991798109898293,1.008023765659319
600.0,4.432088364583175,4.507870249967144,4.343377591529345,5.536791236844165,3.7179568356036543,2.5560449371128824,1.736808740712904,1.1553838506250365
700.0,4.982445565451183,5.066319766444141,4.872485655550718,6.194181772579921,4.196062338043654,2.86918533380822,1.9647104065304997,1.2945424723201087
850.0,5.761431614556498,5.856144638549797,5.703096689732157,7.169882265424171,4.858830665169645,3.311017138060233,2.2912244232265886,1.4904721336729436
1000.0,6.493365506355156,6.597584644314408,6.427287860073112,8.011533689135607,5.429134742795808,3.724697403358961,2.602159318178805,1.6735295917134787
