Bandwidth_MHz,MCCRL,MCCRL (inf-only),Coord. Alloc (AF),DQN (scalar),DQN (throughput),Round-robin,RSS-max,MODQN
100.0,3.147658339683098,3.602418408766966,5.374766193558841,2.016817916167572,0.7522000872464836,0.0,0.0,0.0
150.0,4.676775992260169,5.3538206058762405,7.474508124638534,3.079218785691129,0.8146510146893653,0.0,0.0,0.0
200.0,6.188219885645782,7.0787772122679815,9.72306476991689,4.417295457670664,1.4108479188596235,0.0,0.0,0.0
300.0,9.162595513588348,10.470606986710392,13.303031575418537,6.493351159373765,1.6679424817887252,0.0,0.0,0.0
400.0,12.053627716895141,13.799592932214455,17.574626607854363,8.488493067225725,2.5743057281601534,0.0,0.0,0.0
500.0,14.888582224804756,17.072797049939734,21.08656839324424,9.80788049750152,3.02740475230975,0.0,0.0,0.0
600.0,17.675282798906967,20.276648504142198,24.766829989807565,10.875601514585368,3.923524892177979,0.0,0.0,0.0
700.0,20.41745805685907,23.428952718074004,27.696968280064468,12.421706998838802,4.085736445808803,0.0,0.0,0.0
850.0,24.453062361119493,28.06936108347771,32.062808854778574,13.035885141209285,4.512698105751557,0.0,0.0,0.0
1000.0,28.401893359721118,32.610975484578155,36.25737157383535,15.713445224088712,4.206921248768919,0.0,0.0,0.0
