Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
-180,3.038888888888889,3.0,5.9319444444444445,5.6125,5.986111111111111
-176,3.038888888888889,3.0,5.9319444444444445,5.541666666666667,5.986111111111111
-172,3.038888888888889,3.0,5.9319444444444445,5.614583333333335,5.986111111111111
-168,3.038888888888889,3.0,5.9319444444444445,5.377083333333334,5.986111111111111
-164,3.038888888888889,3.0,5.9319444444444445,5.0062500000000005,5.986111111111111
-160,3.038888888888889,3.0,5.9319444444444445,4.872916666666667,5.986111111111111
-156,3.038888888888889,3.0,5.9319444444444445,4.95625,5.986111111111111
-152,3.038888888888889,3.0,5.9319444444444445,4.985416666666667,5.986111111111111
-148,3.038888888888889,3.0,5.9319444444444445,4.983333333333333,5.986111111111111
-144,3.038888888888889,3.0,5.9319444444444445,4.983333333333333,5.986111111111111
-140,3.038888888888889,3.0,5.9319444444444445,4.9750000000000005,5.986111111111111
