Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
-180,142.40253599143227,154.01603981794602,531.5088864832178,579.3555972127164,549.1337598467505
-176,118.22536245658297,129.60002652111456,443.64124321737745,489.89945184207977,458.3607780005298
-172,94.16065573687926,105.08708744004973,356.13186869386664,394.778094619712,367.8646403960362
-168,70.51588305072107,80.65477805837047,270.3422631241253,314.33645496788984,279.02286292276256
-164,48.20450459633436,57.01480850434525,189.37579419583642,232.84654061343812,195.08243452643458
-160,29.104655029458716,35.891840979785115,118.95330016667896,157.46765287505198,122.0805665802492
-156,15.277179973850192,19.65485549387116,65.663944546606,88.97034426112039,66.98362901210795
-152,7.102266342901004,9.440693650403174,31.997094915638726,45.737963114733,32.40135143261188
-148,3.0477996413407533,4.1304168743672705,14.181749531089316,21.353876830562772,14.271697905574484
-144,1.2538990757860244,1.7154387650896707,5.936755493385992,9.284473862627708,5.951550390151295
-140,0.5060475130632823,0.6951826958138295,2.4151778173968004,3.837483667450608,2.416617922225745
