Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
-180,0.0,0.0,0.5972222222222222,0.6833333333333333
-176,0.0,0.0,0.5972222222222222,0.6833333333333333
-172,0.0,0.0,0.5972222222222222,0.6833333333333333
-168,0.0,0.0,0.5972222222222222,0.6833333333333333
-164,0.0,0.0,0.5972222222222222,0.6833333333333333
-160,0.0,0.0,0.5972222222222222,0.6833333333333333
-156,0.0,0.0,0.5972222222222222,0.6833333333333333
-152,0.0,0.0,0.5972222222222222,0.6833333333333333
-148,0.0,0.0,0.5972222222222222,0.6833333333333333
-144,0.0,0.0,0.5972222222222222,0.6833333333333333
-140,0.0,0.0,0.5972222222222222,0.6833333333333333
