Noise PSD (dBm/Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
-180,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-176,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-172,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-168,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-164,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-160,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-156,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-152,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-148,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-144,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
-140,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
