arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082917,80,10,300.8,5518495629638.097,85243.88040439882,64737733.70543708,283.3905598550493,18346062598.530907,798,800,0.9975,0,0,627138279.7106767,-247.5,-1774.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082918,80,10,300.8,6233307256340.47,91478.4819066793,68139600.99052918,304.117293572737,20722431038.36592,799,800,0.99875,0,0,663542970.4998271,-236.0,-1591.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082914,100,10,300.8,4726201423705.91,77524.36083324731,60964081.13408165,257.72726340840194,15712105796.894648,993,1000,0.993,0,0,578211669.4792649,-281.0,-3237.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082915,100,10,300.8,5524744199828.748,85683.2661314692,64478683.519741036,284.851283681746,18366835770.70727,988,1000,0.988,0,0,618451927.4291042,-280.5,-2950.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082916,100,10,300.8,4788742585773.334,82905.08815582003,57761745.29569159,275.6153196669549,15920021894.193264,999,1000,0.999,0,0,547582467.4123617,-294.5,-3075.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082917,100,10,300.8,5558530059417.286,91754.38360522382,60580539.49044048,305.03451996417493,18479155782.637253,997,1000,0.997,0,0,591576160.3226943,-305.5,-2723.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082918,100,10,300.8,7692332570226.271,112068.17757526049,68639757.8390209,372.5670797049883,25572914129.741592,997,1000,0.997,0,0,679099222.6796416,-310.5,-2227.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082914,120,10,300.8,4630910855531.377,79622.75752339077,58160644.01149326,264.7033162346768,15395315344.186758,1193,1200,0.9941666666666666,0,0,551329265.4635574,-326.0,-4359.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082915,120,10,300.8,6051039163729.562,100039.39638463318,60486562.118631974,332.57778053401984,20116486581.547745,1187,1200,0.9891666666666666,0,0,587069741.8666782,-329.5,-3925.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082916,120,10,300.8,5590824010822.658,101656.61506730276,54997149.05046955,337.95417243119266,18586515993.426388,1199,1200,0.9991666666666666,0,0,537992086.2848122,-347.5,-3741.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082917,120,10,300.8,6155726613555.099,108247.74923635152,56867017.161848724,359.8661876208495,20464516667.40392,1197,1200,0.9975,0,0,560557118.363976,-365.5,-3429.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082918,120,10,300.8,6951634543893.6875,111000.42182489637,62627100.23624883,369.017359790214,23110487180.49763,1197,1200,0.9975,0,0,613883162.9297903,-368.5,-3253.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082914,140,10,300.8,4809377490733.508,85297.82454876066,56383354.63038941,283.5698954413586,15988621977.172565,1393,1400,0.995,0,0,539764961.680536,-379.5,-5763.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082915,140,10,300.8,5935134696508.141,102798.85008976402,57735419.13480139,341.7514963090559,19731165879.34887,1383,1400,0.9878571428571429,0,0,566992480.0976727,-397.5,-5035.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082916,140,10,300.8,5558961527825.214,104577.56187211446,53156350.44755722,347.6647668620826,18480590185.58914,1398,1400,0.9985714285714286,0,0,510726675.03033304,-412.0,-4914.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082917,140,10,300.8,6497300040148.942,116770.67551957705,55641538.521883816,388.2003840411471,21600066622.83558,1397,1400,0.9978571428571429,0,0,545318703.0897895,-420.0,-4287.0
Full - C1,cdd4f3513c3d97049bc2aaf82a650618016a53b3e6070ef01afbac57af040cd9,2026082911,2026082918,140,10,300.8,7572060746077.552,118438.75879683124,63932287.22589532,393.7458736596783,25173074288.821648,1396,1400,0.9971428571428571,0,0,630829710.6819509,-413.5,-4284.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082914,60,10,300.8,6041058557526.702,76903.8222612884,78553424.00279668,255.66430273034706,20083306374.756325,598,600,0.9966666666666667,0,0,782570289.2302666,-159.0,-1150.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082915,60,10,300.8,6413418285220.8,80996.06608932833,79181849.13014932,269.2688367331394,21321204405.654255,597,600,0.995,0,0,777546991.8876716,-131.5,-1041.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082916,60,10,300.8,6374553724707.304,80684.59550262935,79005833.57946648,268.23336270820926,21192000414.58545,599,600,0.9983333333333333,0,0,777724372.9696172,-156.0,-1077.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082917,60,10,300.8,6764017611283.118,91000.48580547702,74329467.05077936,302.5282107894848,22486760675.80824,600,600,1.0,0,0,731208777.8423448,-142.0,-878.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082918,60,10,300.8,7377375181605.133,88303.19347826179,83545961.26154003,293.5611485314554,24525848343.10217,598,600,0.9966666666666667,0,0,824230919.1642573,-136.0,-902.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082914,80,10,300.8,7234354314485.398,96919.42322507108,74642977.36982425,322.20552933866713,24050380034.85837,797,800,0.99625,0,0,735404213.1982229,-202.5,-1557.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082915,80,10,300.8,7854379403695.068,102240.2008097339,76822808.85101002,339.8942846068281,26111633655.901157,795,800,0.99375,0,0,751590724.5679401,-177.5,-1591.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082916,80,10,300.8,6889911498845.751,97104.24932551998,70953758.94157715,322.81997781090416,22905290887.120182,799,800,0.99875,0,0,688606267.8639688,-210.5,-1651.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082917,80,10,300.8,7284595098968.308,108064.20311854359,67409881.24418312,359.2559944100518,24217403919.442513,798,800,0.9975,0,0,666413242.178048,-189.5,-1406.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082918,80,10,300.8,9471530731184.803,119394.67844605084,79329588.67563404,396.92379802543496,31487801632.9282,798,800,0.9975,0,0,782101239.3077197,-183.0,-1186.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082914,100,10,300.8,8075443144748.494,111258.46077287415,72582732.9324096,369.87520203748056,26846553007.80749,997,1000,0.997,0,0,711549644.0927888,-221.0,-2195.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082915,100,10,300.8,8576345308886.398,118336.89900655962,72473973.72151011,393.40724403776466,28511786266.244675,994,1000,0.994,0,0,708280442.6328468,-199.5,-2108.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082916,100,10,300.8,8294861836366.506,117743.74212182342,70448430.52282335,391.43531290499806,27576003445.36737,999,1000,0.999,0,0,685847603.8298578,-253.5,-2187.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082917,100,10,300.8,7976168335732.245,122826.34033782282,64938581.690169305,408.33224846350674,26516517073.57794,997,1000,0.997,0,0,636410383.1991054,-223.5,-2035.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082918,100,10,300.8,9536802043187.223,129617.70035666862,73576386.68904659,430.90990810062704,31704794026.553265,998,1000,0.998,0,0,721997563.0444673,-226.5,-1842.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082914,120,10,300.8,8681541454497.861,124253.725878601,69869465.82978079,413.0775461389661,28861507495.006187,1197,1200,0.9975,0,0,685682047.985677,-284.0,-2999.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082915,120,10,300.8,9297883695541.041,142071.20996232875,65445234.80870223,472.3112033322099,30910517604.85718,1193,1200,0.9941666666666666,0,0,640146142.1378704,-272.0,-2541.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082916,120,10,300.8,9003511016448.73,133178.69184664715,67604741.35619316,442.7483106603961,29931885028.087532,1199,1200,0.9991666666666666,0,0,657669803.9724281,-315.5,-2715.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082917,120,10,300.8,8570756077355.822,142375.629820804,60198196.0546415,473.3232374361835,28493205044.401005,1197,1200,0.9975,0,0,593374922.1681516,-279.5,-2489.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082918,120,10,300.8,10455169723388.379,144028.1304152242,72591164.6096271,478.8169229229528,34757878069.77519,1197,1200,0.9975,0,0,711421263.9110154,-276.0,-2371.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082914,140,10,300.8,9437085704129.764,135991.6150157177,69394614.5358965,452.0997839618274,31373290239.793095,1397,1400,0.9978571428571429,0,0,682429310.0786576,-323.5,-3877.0
Full - C2,7d384efee70469fee032c45372661ebd56fc96fdad83a9174ff16b403d278a63,2026082911,2026082915,140,10,300.8,9614464730211.418,143385.8551262111,67053090.56983741,476.6816992227762,31962981150.968807,1393,1400,0.995,0,0,651468123.5271575,-312.5,-3613.0
