Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
100000000.0,-8.203303246898551e-05,-7.983579394294788e-05,6.759987935275535e-05,7.068471162446349e-05
200000000.0,-6.478883612242244e-05,-6.086453232005443e-05,0.0001846489712257404,0.00019641817071566569
300000000.0,-4.803093617221962e-05,-4.2453804957259914e-05,0.0002883342736975348,0.00030790441955090596
400000000.0,-3.166815380971589e-05,-2.4478431284732284e-05,0.00038324902339127536,0.00041004953786239634
500000000.0,-1.5653220082071613e-05,-6.8741351435067155e-06,0.0004716633285054272,0.000505257469175253
600000000.0,4.445587899707e-08,1.0399727904311198e-05,0.0005549438404920735,0.0005949096588018514
700000000.0,1.544710205968535e-05,2.737192616072606e-05,0.0006339664485860782,0.0006799699956487872
800000000.0,3.057213811979313e-05,4.406428897265174e-05,0.0007093375350669925,0.0007611231720719836
900000000.0,4.543396564092545e-05,6.049422686739049e-05,0.0007815187250513896,0.0008388703190480387
1000000000.0,6.004474328052736e-05,7.667609468666635e-05,0.0008508429254284919,0.0009136058434716598
