Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
100000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
200000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
300000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
400000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
500000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
600000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
700000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
800000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
900000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
1000000000.0,3.038888888888889,3.0,5.9319444444444445,5.986111111111111
