Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
100000000.0,0.0,0.0,0.5972222222222222,0.9979166666666667,0.6833333333333333
200000000.0,0.0,0.0,0.5972222222222222,0.9958333333333332,0.6833333333333333
300000000.0,0.0,0.0,0.5972222222222222,0.9958333333333332,0.6833333333333333
400000000.0,0.0,0.0,0.5972222222222222,0.9854166666666667,0.6833333333333333
500000000.0,0.0,0.0,0.5972222222222222,0.9916666666666667,0.6833333333333333
600000000.0,0.0,0.0,0.5972222222222222,0.9875000000000002,0.6833333333333333
700000000.0,0.0,0.0,0.5972222222222222,0.9770833333333334,0.6833333333333333
800000000.0,0.0,0.0,0.5972222222222222,0.9729166666666668,0.6833333333333333
900000000.0,0.0,0.0,0.5972222222222222,0.9770833333333334,0.6833333333333333
1000000000.0,0.0,0.0,0.5972222222222222,0.9770833333333334,0.6833333333333333
