Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
0.1,0.0,0.0,0.5972222222222222,0.6833333333333333
0.25,0.0,0.0,0.5972222222222222,0.6833333333333333
0.5,0.0,0.0,0.5972222222222222,0.6833333333333333
0.75,0.0,0.0,0.5972222222222222,0.6833333333333333
1.0,0.0,0.0,0.5972222222222222,0.6833333333333333
1.25,0.0,0.0,0.5972222222222222,0.6833333333333333
1.5,0.0,0.0,0.5972222222222222,0.6833333333333333
1.75,0.0,0.0,0.5972222222222222,0.6833333333333333
2.0,0.0,0.0,0.5972222222222222,0.6833333333333333
2.5,0.0,0.0,0.5972222222222222,0.6833333333333333
