Base Transmit Power P_base (W),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL w/o learning,MCCRL
0.1,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.31083333333333335,0.09819444444444443
0.25,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.30739583333333337,0.09819444444444443
0.5,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.37614583333333335,0.09819444444444443
0.75,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.41672916666666665,0.09819444444444443
1.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.4817291666666667,0.09819444444444443
1.25,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.4404166666666667,0.09819444444444443
1.5,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.4680416666666667,0.09819444444444443
1.75,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.48699999999999993,0.09819444444444443
2.0,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.50225,0.09819444444444443
2.5,0.10026388888888887,0.09999999999999999,0.09724999999999999,0.5210208333333334,0.09819444444444443
