Bandwidth (Hz),MODQN,MCCRL w/o coordinate,MCCRL w/o catfish,MCCRL
100000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
200000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
300000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
400000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
500000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
600000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
700000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
800000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
900000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
1000000000.0,0.0,0.0,0.5972222222222222,0.6833333333333333
